"File","LineNumber","Line"
"app\components\ui\ConfirmDialog.tsx","1","'use client';"
"app\components\ui\ConfirmDialog.tsx","3","import { useEffect, useRef } from 'react';"
"app\components\ui\ConfirmDialog.tsx","12","const dialogRef = useRef<HTMLDivElement | null>(null);"
"app\components\ui\ConfirmDialog.tsx","14","useEffect(() => {"
"app\components\ui\ConfirmDialog.tsx","16","const previouslyFocused = document.activeElement as HTMLElement | null;"
"app\components\ui\ConfirmDialog.tsx","20","return () => previouslyFocused?.focus?.();"
"app\components\ui\ConfirmDialog.tsx","35","<h3 id=""confirm-title"" className=""text-lg font-semibold"">{title}</h3>"
"app\components\ui\Spinner.tsx","1","""use client"";"
"app\page.backup.tsx","1","""use client"";"
"app\page.backup.tsx","3","import { useState } from ""react"";"
"app\page.backup.tsx","5","const FRIENDLY_TONES: { label: string; value: string }[] = ["
"app\page.backup.tsx","13","{ label: ""English"", value: ""en"" },"
"app\page.backup.tsx","14","{ label: ""Deutsch"", value: ""de"" },"
"app\page.backup.tsx","19","// Client-side mapper mirrors server tone-map"
"app\page.backup.tsx","20","function toCanonicalTone(label: string): ""warm"" | ""professional"" | ""direct"" | ""empathetic"" | undefined {"
"app\page.backup.tsx","21","const k = (label || """").trim().toLowerCase();"
"app\page.backup.tsx","38","const [notes, setNotes] = useState("""");"
"app\page.backup.tsx","39","const [toneLabel, setToneLabel] = useState(FRIENDLY_TONES[0].value);"
"app\page.backup.tsx","40","const [language, setLanguage] = useState(LANGS[0].value);"
"app\page.backup.tsx","41","const [loading, setLoading] = useState(false);"
"app\page.backup.tsx","42","const [result, setResult] = useState<any>(null);"
"app\page.backup.tsx","43","const [error, setError] = useState<string | null>(null);"
"app\page.backup.tsx","51","const tone = toCanonicalTone(toneLabel) ?? toneLabel; // server also canonicalizes"
"app\page.backup.tsx","55","body: JSON.stringify({ notes, tone, language }),"
"app\page.backup.tsx","88","Tone"
"app\page.backup.tsx","89","<select value={toneLabel} onChange={(e) => setToneLabel(e.target.value)} required>"
"app\page.backup.tsx","90","{FRIENDLY_TONES.map((t) => ("
"e2e\billing.spec.ts","5","// Use Playwright's APIRequest to POST directly to webhook route (bypasses client-side JS)"
"e2e\billing.spec.ts","17","test.describe('Critical billing flows', () => {"
"e2e\billing.spec.ts","21","await page.getByTestId('signup-email').fill('e2euser@example.com');"
"e2e\billing.spec.ts","29","await page.getByTestId('signin-email').fill('e2euser@example.com');"
"e2e\billing.spec.ts","49","const customerId = 'cus_e2euser';"
"functions\src\usage\reset-monthly.ts","13","// Get all users (paginated in batches)"
"functions\src\usage\reset-monthly.ts","14","const usersRef = dbAdmin.collection('users');"
"functions\src\usage\reset-monthly.ts","18","let query = usersRef.limit(batchSize);"
"functions\src\usage\reset-monthly.ts","45","console.error(`Failed to reset usage for user ${doc.id}:`, e);"
"gpts\draft\examples\de_supportive.json","3","""main_comment"": ""In den letzten Wochen beteiligt sich Lea aktiver in Gruppenarbeiten. Sie stellt klärende Fragen und setzt Feedback um. Als Nächstes üben wir, Ideen vor dem Schreiben zu strukturieren. Eine kurze Checkliste zu Hause kann ihr helfen, selbstständig zu starten."","
"gpts\draft\examples\de_supportive.json","5","""tone"": ""empathetic"","
"gpts\draft\examples\de_supportive.json","6","""safeguards_applied"": [""privacy"", ""tone-check"", ""bias-check""],"
"gpts\draft\examples\en_firm.json","4","""closing_line"": ""If it helps, I can share the routine we practiced so you can reinforce it at home."","
"gpts\draft\examples\en_firm.json","5","""tone"": ""direct"","
"gpts\draft\examples\en_firm.json","6","""safeguards_applied"": [""privacy"", ""tone-check"", ""de-escalation""],"
"gpts\draft\examples\en_simple.json","4","""closing_line"": ""I’m happy to share the checklist if helpful."","
"gpts\draft\examples\en_simple.json","5","""tone"": ""warm"","
"gpts\draft\examples\en_simple.json","6","""safeguards_applied"": [""privacy"", ""tone-check""],"
"gpts\draft\examples\en_supportive.json","5","""tone"": ""empathetic"","
"gpts\draft\examples\en_supportive.json","6","""safeguards_applied"": [""privacy"", ""tone-check"", ""bias-check""],"
"gpts\draft\schema.json","4","""required"": [""opening_line"", ""main_comment"", ""closing_line"", ""tone"", ""safeguards_applied"", ""meta""],"
"gpts\draft\schema.json","9","""tone"": { ""type"": ""string"", ""enum"": [""warm"", ""professional"", ""direct"", ""empathetic""] },"
"gpts\draft\schema.json","12","""items"": { ""type"": ""string"", ""enum"": [""privacy"", ""tone-check"", ""de-escalation"", ""bias-check"", ""no-diagnosis""] },"
"jest.config.js","8","useESM: true,"
"lib\auth\hooks.ts","1","import { useContext } from 'react';"
"lib\auth\hooks.ts","4","export function useAuth() {"
"lib\auth\hooks.ts","5","const context = useContext(AuthContext);"
"lib\auth\hooks.ts","7","throw new Error('useAuth must be used within an AuthProvider');"
"lib\auth\hooks.ts","12","export function useAuthStatus() {"
"lib\auth\hooks.ts","13","const { status } = useAuth();"
"lib\auth\hooks.ts","17","export function useUser() {"
"lib\auth\hooks.ts","18","const { user } = useAuth();"
"lib\auth\hooks.ts","19","return user;"
"lib\auth\middleware.ts","13","const user = await authAdmin.getUser(decodedToken.uid);"
"lib\auth\middleware.ts","15","// Attach user to request for route handlers"
"lib\auth\middleware.ts","16","req.headers.set('X-User-Id', user.uid);"
"lib\auth\middleware.ts","17","req.headers.set('X-User-Email', user.email || '');"
"lib\auth\provider.tsx","1","'use client';"
"lib\auth\provider.tsx","3","import { createContext, useContext, useEffect, useState } from 'react';"
"lib\auth\provider.tsx","5","createUserWithEmailAndPassword,"
"lib\auth\provider.tsx","16","user: null,"
"lib\auth\provider.tsx","24","const [state, setState] = useState<AuthState>(initialState);"
"lib\auth\provider.tsx","26","useEffect(() => {"
"lib\auth\provider.tsx","29","(user) => {"
"lib\auth\provider.tsx","31","user,"
"lib\auth\provider.tsx","32","status: user ? 'authenticated' : 'unauthenticated',"
"lib\auth\provider.tsx","38","user: null,"
"lib\auth\provider.tsx","59","const cred = await createUserWithEmailAndPassword(auth, email, password);"
"lib\auth\provider.tsx","62","await sendEmailVerification(cred.user);"
"lib\auth\provider.tsx","64","// ignore verification errors; user still created"
"lib\auth\types.ts","1","import { User } from 'firebase/auth';"
"lib\auth\types.ts","6","user: User | null;"
"lib\auth\utils.ts","3","export async function getCurrentUser() {"
"lib\auth\utils.ts","5","const unsubscribe = auth.onAuthStateChanged((user) => {"
"lib\auth\utils.ts","7","resolve(user);"
"lib\auth\utils.ts","13","return auth.currentUser?.getIdToken();"
"lib\auth\utils.ts","16","export function getUserId() {"
"lib\auth\utils.ts","17","return auth.currentUser?.uid;"
"lib\auth\utils.ts","20","export function getUserEmail() {"
"lib\auth\utils.ts","21","return auth.currentUser?.email;"
"lib\firestore\classBrain.ts","19","export type UserProfile = {"
"lib\firestore\classBrain.ts","61","// Client helpers (use in client code)"
"lib\firestore\classBrain.ts","95","// Server-side admin helpers (use in API routes)"
"lib\firestore\usage.ts","5","import { UserProfile } from './classBrain';"
"lib\firestore\usage.ts","9","export async function getUserProfile(uid: string) {"
"lib\firestore\usage.ts","10","const d = await getDoc(doc(db, 'users', uid));"
"lib\firestore\usage.ts","13","const profile: UserProfile = {"
"lib\firestore\usage.ts","16","email: auth.currentUser?.email,"
"lib\firestore\usage.ts","17","displayName: auth.currentUser?.displayName,"
"lib\firestore\usage.ts","20","await updateDoc(doc(db, 'users', uid), profile);"
"lib\firestore\usage.ts","23","return d.data() as UserProfile;"
"lib\firestore\usage.ts","27","const profile = await getUserProfile(uid);"
"lib\firestore\usage.ts","33","await updateDoc(doc(db, 'users', uid), {"
"lib\firestore\usage.ts","43","await dbAdmin.doc(`users/${uid}`).update({"
"lib\firestore\usage.ts","49","// Check if user can generate more snippets"
"lib\firestore\usage.ts","51","const profile = await getUserProfile(uid);"
"lib\log.ts","9","const key = k.toLowerCase();"
"package-lock.json","2043","""license"": ""BSD-3-Clause"","
"package-lock.json","2053","""license"": ""BSD-3-Clause"","
"package-lock.json","2191","""integrity"": ""sha512-pk2B1NWalF9toCRu6gjBzR69syFjP4Od8WRAX+0mmf9lAjCRicLOWc+ZrxZHx/0XRjotgkF9t6iaMJ+aXcOdZQ=="","
"package-lock.json","2244","""integrity"": ""sha512-9KQPoO6mZCi7jcIStSnlOWn2nEF3mNmyr3rIAsGnAbQKYbRLyqmeSc39EVgtxXVia+LMT8j3knZLAZAh+xLmrw=="","
